This spreadsheet is based on Kedaliya's edition of the Śabdamaṇidarpaṇa of Kēśirāja. See https://github.com/aso2101/kannadaroots.,,,,,,
No.,Root,Meaning (Sanskrit),Meaning (English),Class,Compound?,Textual notes
803,õdisu,śāstraśikṣāyām,"to cause to read, as the śāstras.",bhinnakartarīsu,,
804,kādisu,saṅgarakriyāyām,to cause to fight.,bhinnakartarīsu,,
805,muttisu,durgasamvēṣṭanē,to cause to encompass as a fort.,bhinnakartarīsu,,
806,ettisu,uddharaṇē,to cause to lift up.,bhinnakartarīsu,,
807,toḍeyisu,lēpyakaraṇē,to cause to smear.,bhinnakartarīsu,,
808,kaḍiyisu,khaṇḍanē,to cause to cut.,bhinnakartarīsu,,
809,aḻiyisu,layē,to cause to be destroyed.,bhinnakartarīsu,,
810,muḷiyisu,kōpē,to cause to become angry.,bhinnakartarīsu,,
811,kaṭṭisu,bandhanē,to cause to bind.,bhinnakartarīsu,,
812,oṭṭisu,puñjīkaraṇē,to cause to heap.,bhinnakartarīsu,,
813,podeyisu,ācchādanē,to cause to cover.,bhinnakartarīsu,,
814,padeyisu,īpsāyām,to cause to desire.,bhinnakartarīsu,,
815,aguḻisu,khananē,to cause to dig.,bhinnakartarīsu,,
816,tegaḻisu,nindāyām,to cause to blame.,bhinnakartarīsu,,
817,bareyisu,lēkhanē,to cause to write.,bhinnakartarīsu,,
818,oreyisu,karṣaṇē,to cause to draw.,bhinnakartarīsu,,
819,meṟe,viḍambē,"to make manifest, to display.",ṟanta,,
820,kaṟe,dōhanē,to milk.,ṟanta,,
821,maṟi,pōtakāyām,the young of an animal to be born (?).,ṟanta,,
822,teṟe,anāvaraṇōdghaṭanayōḥ,"to be uncovered, to open.",ṟanta,,
823,neṟe,samagratvē,"to become entire, full grown.",ṟanta,,
824,maṟe,vismaraṇē,to forget...,ṟanta,,
825,toṟe,visarjanē,to put away.,ṟanta,,
826,aṟi,jñānē,to know.,ṟanta,,
827,kacciṟi,yugalasandhānē,to join a pair.,ṟanta,kaccu + iṟi,
828,bobbiṟi,mahāravē,"to give a loud sound, to bawl.",ṟanta,bobbe + iṟi,
829,paṟi,vicchittau,"to cut, tear.",ṟanta,,
830,taṟi,lūnē,to clip or strip off.,ṟanta,,
831,muṟi,mõṭanē,to break.,ṟanta,,
832,taṟi,chēdē,to cut.,ṟanta,,cf. 830
833,nuṟi,sañcūrṇē,to be powdered.,ṟanta,,
834,paṟi,bhūṣanē,to decorate.,ṟanta,,cf. 829
835,iṟi,ghātanē,"to strike, stab.",ṟanta,,
836,aḷḷiṟi,spandanē,"to tremble, shake.",ṟanta,aḷḷu + iṟi,
837,īdiri,śr̥ṅgasaṅkarṣaṇē,to rub with the horns.,ṟanta,īḷu + iṟi,
838,pāṅgaṟi,prakāragamanē,to go in proper order.,ṟanta,pāṅgu + aṟi,
839,eḍegiṟi,sañchandanē,to be covered.,ṟanta,eḍege + iṟi,
840,ēṟu,ārōhaṇē,to ascend.,ṟanta,,o.r. ēṟ
841,miṟu,atikramaṇē,to transgress.,ṟanta,,o.r. mir
842a,kēṟu,śūrpakaraṇē,to winnow.,ṟanta,,
842b,tūṟu,uddhūtau,to rouse up.,ṟanta,,
842c,dūṟu,paiśūnyē,to calumniate.,ṟanta,,
842d,tīṟu,kabaḷanē,to take mouthfuls.,ṟanta,,
842e,sāṟu,ghōṣaṇē,to proclaim.,ṟanta,,
843,pāṟu,utplavanē,"to leap up, to jump.",ṟanta,o.r. pāṟ,
844,tōṟu,darśanē,to appear.,ṟanta,o.r. tōṟ,
845,kīṟu,āgraha-pramārjanayōḥ,to rage; to rub off or away.,ṟanta,,"cf. 883, o.r. kīṟ"
846,māṟu,vikrayē,"to barter, sell.",ṟanta,,
847,kaṟu,vamane,to vomit.,ṟanta,,
848,naṟu,durgandhē,to smell.,ṟanta,,
849,pēṟu,vikīryē,to scatter.,ṟanta,,o.r. piṟu
850,tāṟu,śōṣaṇē,"to become dry, dry up.",ṟanta,,
851,ūṟu,sattvē,"to be, exist.",ṟanta,,
852,kedaṟu,vikīrṇē,"to scatter, dishevel.",ṟanta,,
853,oṟe,sravaṇē,"to ooze, flow.",ṟanta,,
854,bedaṟu,vyastē,"to be agitatéd, alarmed.",ṟanta,,
855,odaṟu,āsphōṭanē,to make noise by slapping or clapping the arms.,ṟanta,,
856,gadaṟu,garjanē,to roar.,ṟanta,,
857,samaṟu,cārukaraṇē,to make beautiful.,ṟanta,,
858,musuṟu,sañchannē,to cover.,ṟanta,,
859,eḍaṟu,vakrabhavē,to be crooked.,ṟanta,,
860a,aḷaṟu,bhayē,to fear.,ṟanta,,
860b,peḻaru,bhayē,to fear.,ṟanta,,
861,oḷaṟu,ravē,to sound.,ṟanta,,
862,kiḷiṟu,hayaghōṣē,to neigh as a horse.,ṟanta,,
863,poṟamāru,palāyanē,to flee.,ṟanta,,
864,peṟu,upalabdhau,to acquire.,ṟanta,,
865,teppaṟu,cētanakaraṇē,to animate.,ṟanta,,
866,tiṟu,vinimayē,"to barter, exchange.",ṟanta,,
867,kiṟu,vyavadhānē,to come between.,ṟanta,,
868,poṟu,śirōdhāraṇē,to bear on the head.,ṟanta,,
869,eṟe,dravadravyadānē,to pour out liquids .,ṟanta,,
870,koṟe,khaṇḍanē,to cut.,ṟanta,,
871,jaṟe,avagrahē,to be impeded (cf. 888).,ṟanta,,
872,aṟe,svarūpabhāvē,to lose one form.,ṟanta,,
873,kaymaṟe,vismayē,to be amazed.,ṟanta,kay + maṟe,
874,tegeneṟe,ākarṇāntē,to pull to its full extent.,ṟanta,tege + neṟe,
875,eḻcaṟu,jāgaraṇē,to awake.,ṟanta,,
876a,bēsaṟu,ālasyē,to be weary or fatigued.,ṟanta,,
876b,āsaṟu,ālasyē,to be weary or fatigued.,ṟanta,,
877a,aḷkaṟu,bhayē,to fear.,ṟanta,,
877b,beḷkaṟu,bhayē,to fear.,ṟanta,,o.r. beḻkaṟu
878,aḷkaṟu,prēmni,to love.,ṟanta,,
879,eḷcaṟu,nidrābhāvē,to be vigilant (cf. 875).,ṟanta,,
880,poccaṟu,sphuraṇē,to appear.,ṟanta,,
881,āṟu,nirdravē,"to dry up, become dry,",ṟanta,,
882,sīṟu,duḥkalahē,"to be grieved, to grow enraged.",ṟanta,,
883,kīru,bhayadhvanau,to cry out from fear.,ṟanta,,cf. kīṟu
884,bīṟu,svēcchapradānē,to give away according to one’s inclination.,ṟanta,,
885,giṟu,paribhavanē,"to conceive, think.",ṟanta,,
886,jiṟu,bhayē,to fear.,ṟanta,,
887,ēṟu,samagratvē,to be complete.,ṟanta,,
888,jaṟe,ākramaṇālāpē,to speak assaultingly.,ṟanta,,
889,beṟe,ahaṅkārabhāvē,to be arrogant.,ṟanta,,
890,kuḻi,khananē,to dig.,ḻanta,,
891,iḻi,nimnāvataraṇē,"to come down, to descend.",ḻanta,,
892,uḻi,avasiṣṭē,to remain.,ḻanta,,
893,aḻi,vināśē,to be ruined.,ḻanta,,
894,kaḻi,nidhanātidūrayõḥ,"to end, to die, to go or be removed very far.",ḻanta,,
895,baḻi,sammārjanamārgavaṁśēṣu,to sweep; road; race; lineage.,ḻanta,,
896a,kaygaḻi,atikramaṇē,to surpass.,ḻanta,kay + kaḻi,
896b,asakaḻi,atikramaṇē,to surpass.,ḻanta,,
897,paḻi,nindāyām,to rebuke.,ḻanta,,
898,suḻi,bhramaṇē,to turn round.,ḻanta,,o.r. paribhramaṇē
899,tuḻi,pādasaṅghaṭṭanē,to trample on.,ḻanta,,
900,hiḻi,nirdravakaraṇē,"to squeeze out; dalanarthē kuḷam but when meaning ‘to burst’ it is hiḷi, for instance hiḷḷane hiḷidudu.",ḻanta,,
901,kaḻe,jīrṇē,"to decay, to rot.",ḻanta,,
902,eḻe,ākramṇākarṣaṇē,"to draw with power, to pull.",ḻanta,,
903,kīḻ,utpāṭanē,to pull out.,ḻanta,,
904,uḻ,halavilēkhanē,"to make furrows, to plough.",ḻanta,,
905,aḻ,rōdanē,to weep.,ḻanta,,
906,aguḻ,khananē,to dig.,ḻanta,,
907,tegaḻ,nindāyām,"to rebuke, to blame.",ḻanta,,
908,jaguḻ,apasaraṇē,to go away.,ḻanta,,
909,pogaḻ,samstavanē,to praise.,ḻanta,,
910,negaḻ,udyōga-khyātayōḥ,"to engage in, to be known or famous.",ḻanta,,
911,maguḻ,nivartanē,to return.,ḻanta,,
912,paḍamaguḻ,paranmukha,to turn the face backward.,ḻanta,paḍa + maguḻ,o.r. peḍammaguḻ
913,eḻe,rõdhākarṣanē,to lay hold of and forcibly to drag.,ḻanta,,c.f. 902
914a,āḻ,jalanimajjanē,"to dive into water, to sit in water; sēvakē kuḷam but when meaning ‘serve’ it is written as āḷ.",ḻanta,,
914b,aguḻ,jalanimajjanē,"to dive into water, to sit in water; sēvakē kuḷam but when meaning ‘serve’ it is written as āḷ.",ḻanta,,
915,bāḻ,jīvanē,to live; khaḍgē kuḷam but when meaning ‘sword’ written as bāḷ.,ḻanta,,
916,pōḻ,vidāraṇē,"to cleave asunder, split.",ḻanta,,
917,pūḻ,ācchādanē,to cover.,ḻanta,,
918,bīḻ,patanē,to fall.,ḻanta,,
919,ēḻ,utthānē,to rise.,ḻanta,,
920,pāṟēḻ,nirdhāvanē,to run away.,ḻanta,pāṟu + ēḻ,
921,jīṟēḻ,dhvanivikārē,"to sound strangely, to scream.",ḻanta,jīṟu + ēḻ,
922,beḷe,sasyavriddhau,"to grow, as corn.",ḷanta,,
923,baḷe,pravr̥ddhau,"to grow up, to prosper,",ḷanta,,
924,taḷe,dhāraṇē,to obtain; atapatrabhēdē ṟaḻam when meaning ‘parasol’ it is written as taḻe.,ḷanta,,
925,moḷe,prarōhakriyāyām,to sprout; get shoots.,ḷanta,,
926,seḷe,ākarṣaṇē,to draw.,ḷanta,,
927,aḷe,parimāṇē,to measure.,ḷanta,,
928,toḷe,"prakṣālanē to remove by washing, wash.",tūlāyām ca,ḷanta,,
929,poḷe,luṭhanē,to roll about; nadyarthē ṟaḻam but when meaning ‘river’ written as poḻe.,ḷanta,,
930,kaḷe,visarjanē,"to throw away; kaḷāyām kṣalam but when meaning‘lustre,’ the ḷ is kṣaḷa.",ḷanta,,
931,taḷi,sēcanē,to spriṅkle.,ḷanta,,
932,naḷi,namanē,to bow.,ḷanta,,
933,caḷi,vigataprabhāvē,(o.r. vigatabhāva) to be deprived of power.,ḷanta,,
934,muḷi,kōpē,to be angry.,ḷanta,,
935,tiḷi,nairmalyē,"to be or become clean or clear; jñānaprasannabhāvayōḥ to be known, to know; to be pleased.",ḷanta,,
936,keḷe,ākarṣaṇē,to draw towards one's self.,ḷanta,,omitted in one m.s.
937,tūḷ,avasarpaṇē,to retreat.,ḷanta,,
938,tāḷ,dhāraṇē,to bear; vr̥kṣē ṟaḻam but when meaning ‘the palmyra tree’ it is written as tāḻ.,ḷanta,,
939,sīḷ,vidāraṇē,"to cleave, split.",ḷanta,,
940,bēḷ,haviḥpradānē,to offer into fire; nivr̥ddhau to be without growth.,ḷanta,,
941,nõḷ,agragamanē,to go before.,ḷanta,,
942,ōḷ,nidhuvanē,to have sexual intercourse.,ḷanta,,
943,ūḷ,dūrādāhvānē,to call from afar.,ḷanta,,
944,nīḷ,prasāraṇē,to extend.,ḷanta,,
945,kaḷ,stēyē,to steal.,ḷanta,,
946,koḷ,grahaṇē,"to seize, take, lay hold.",ḷanta,,
947,muḷ,kaṇṭakē,"to be irritated, etc.",ḷanta,,
948,masuḷ,vigataprabhāyām,"lustre to go away or disappear, grow dim.",ḷanta,,
949a,nuguḷ,dvārapravēśē,to enter a door or opening.,ḷanta,,
949b,nusuḷ,dvārapravēśē,to enter a door or opening.,ḷanta,,
950,taguḷ,anudhāvanē,to run after.,ḷanta,,
951,baguḷ,kurkuradhvanau,"to sound as a dog, to bark.",ḷanta,,
952,muguḷ,nimīlanē,to shut the eyelids.,ḷanta,,
953,suruḷ,saṅkōcanē,"to contact, shrivel, uruḷ nimnapatanē to roll down.",ḷanta,,
954,poraḷ,luṭhanē,to roll.,ḷanta,,
955,sūruḷ,śapathē,to swear.,ḷanta,,
956,kaṇgoḷ,darśanīyē,to appear.,ḷanta,kaṇ + koḷ,
957,kaykoḷ,svīkārē,to adopt.,ḷanta,kay + koḷ,
958,bengoḷ,anudhāvanē,to run after.,ḷanta,ben + koḷ,
959,dorekoḷ,prāptau,to be obtained or gained.,ḷanta,dore + koḷ,
960,manaṁgoḷ,cittavimōhanē,the mind to be captured.,ḷanta,manam + koḷ,
961,asuṁgoḷ,prāṇāpaharaṇē,"to take away life, to kill.",ḷanta,asum + koḷ,
962,baḻikoḷ,kramasandhānē,to put together in regular order.,ḷanta,baḻi + koḷ,
963,neṟekoḷ,sarvasvaharaṇē,to seize all,ḷanta,neṟe + koḷ,
964,māṟkoḷ,sammukhē,to become opposite to.,ḷanta,māṟ + koḷ,
965,olavaraṁgoḷ,pakṣasvīkārē,to side with.,ḷanta,olavaram + koḷ,
